LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,HeadPitch,LHand,RHand
0.9919521,0.649468,-1.043939,-1.476036,0.2339847,0.2737769,-0.1515421,0.03515351,0.2025677,1.131456,-0.4177731,1,0
0.9926827,0.6509433,-1.025414,-1.490026,0.2339847,0.2638993,-0.1563052,-0.02188724,0.2070723,1.370887,-0.4177992,1,0
0.994334,0.6530935,-1.030524,-1.488323,0.2339847,0.2481539,-0.1599315,-0.1078308,0.2030465,1.211951,-0.4171823,1,0
0.9967217,0.6525096,-1.041518,-1.494659,0.2339847,0.2436195,-0.1296159,-0.1547444,0.1947995,1.271254,-0.4119827,1,0
0.8969545,0.6256843,-1.104173,-1.438205,0.2339847,0.2363127,-0.2099468,0.09996478,0.3583436,1.222509,-0.4154885,1,0
0.8519344,0.5654958,-1.210907,-1.465531,0.2339847,0.2344534,-0.2113877,0.1654558,0.3165032,0.2073866,-0.4190563,1,0
0.8208525,0.4799463,-1.293145,-1.381092,0.2339847,0.2615349,-0.1973738,0.03453206,0.3103076,0.02805817,-0.4003994,1,0
0.8111199,0.480392,-1.292457,-1.363689,0.2339847,0.2978121,-0.2676602,0.2767631,0.4418503,1.292757,-0.3818036,1,0
0.9252321,0.2994872,-1.166727,-1.106546,-0.7709624,0.3165887,-0.4096506,0.4028818,0.57386,0.65763,-0.3681993,1,0
0.667786,0.4974236,-1.337408,-0.5627272,0.5908877,0.3445705,-0.4984099,0.5407223,0.6761187,-0.1410465,-0.4207225,1,0
0.7322273,0.5453186,-1.360589,-0.6179001,-1.375795,0.4506802,-0.5510324,0.5737652,0.7831904,-0.1109218,-0.4012242,1,0
0.7762098,0.5827825,-0.8845419,-0.1294568,-0.5851182,0.6732633,-0.6927017,0.9192359,0.9274783,0.4233165,-0.3843035,1,0
0.8198794,0.6444162,-0.7704517,-0.2963581,-0.3485931,0.9018174,-0.7695405,1.128572,1.202494,0.4568733,-0.392554,1,0
0.8312645,0.5058104,-0.8518317,-0.2055943,-0.4070199,0.8339248,-0.8167074,1.004675,1.127686,0.02827506,-0.3169604,1,0
0.8986059,0.541677,-1.12355,-0.2895038,0.3384367,1.019204,-0.836753,1.092992,1.213203,-0.1712833,-0.3120438,1,0
0.8303521,0.6319634,-0.8602007,-0.2255276,0.2707161,1.055796,-0.8609009,1.114259,1.221148,-0.5433698,-0.2868761,1,0
0.8504368,0.6520184,-0.9411062,-0.2157845,0.2673915,1.189887,-0.8633531,1.098245,1.145077,-0.6584005,-0.2418901,1,0
0.9271196,0.6777213,-1.091163,-0.2774479,0.05940245,1.100441,-0.9559574,1.078717,1.483469,0.1330588,-0.2091222,1,0
0.9832615,0.7032859,-1.195812,-0.3353055,0.286048,1.456401,-1.01007,1.305848,1.269491,-0.8226159,-0.1460765,1,0
1.072218,0.7217245,-1.276409,-0.3345199,-0.1363846,1.597904,-1.067984,1.38226,1.445221,-0.4400064,-0.1408907,1,0
1.1465,0.7694069,-1.375279,-0.4080375,-0.1092567,1.899876,-1.098937,1.320706,1.463127,-0.04376742,-0.1236583,1,0
1.320023,0.776477,-1.483355,-0.5889249,-0.2354463,1.864251,-1.006797,1.211619,1.449878,-0.1666724,-0.1084964,1,0
1.339828,0.7957146,-1.406762,-0.5793965,0.8728735,1.831822,-0.9933466,1.095503,1.422821,-0.2959949,-0.11368,1,0
1.576089,0.7242463,-1.131531,-0.964296,-0.4874342,1.706585,-0.9208172,1.086928,1.503485,-0.6364562,-0.09197903,1,0
1.630075,0.6844999,-1.049716,-1.087938,-0.4401014,1.68456,-0.9424326,0.97478,1.404483,-0.7862324,-0.08414445,1,0
1.558895,0.7438906,-1.108137,-0.8210961,-0.4220183,1.679159,-0.9674216,0.9481954,1.448923,-0.7868668,-0.07425815,1,1
1.683813,0.6520872,-0.9599651,-1.163838,-0.3669182,1.823371,-1.074666,0.9543929,1.378486,-0.5415739,-0.05523161,1,1
1.62435,0.6955951,-0.9862155,-1.14306,0.6591146,1.647216,-1.035348,0.8709591,1.511253,-0.6016808,-0.04000006,1,1
1.686643,0.6835644,-0.8829462,-1.2594,-0.2308881,1.502861,-1.020105,0.9873246,1.544006,-0.6166062,-0.03011237,1,1
1.634065,0.7266182,-0.8654251,-1.266504,-0.2850147,1.529913,-1.047099,0.9087072,1.554248,-0.5610541,-0.02188239,1,1
1.652415,0.7141786,-0.8139216,-1.309495,-0.2940054,1.463267,-1.095812,1.004629,1.585287,-0.4922919,-0.009739732,1,1
1.557955,0.7668031,-0.8566298,-1.31265,-0.150712,1.392632,-1.091463,0.9984235,1.579496,-0.489817,-0.01770253,1,1
1.542046,0.8022891,-0.8429344,-1.379619,0.6315996,1.407595,-1.119995,0.9700191,1.604201,-0.5171114,-0.01952138,1,1
1.47101,0.8546796,-0.8585044,-1.403302,0.8290822,1.381363,-1.187909,0.9821138,1.611319,0.07288679,-0.02975885,1,1
1.357483,0.9195749,-0.9804949,-1.395997,0.8192026,1.376893,-1.208794,0.9760288,1.608226,-0.5332809,-0.03813664,1,1
1.30377,0.9715502,-1.009312,-1.404233,0.1644234,1.313309,-1.226639,0.9708907,1.607098,-0.5604734,-0.04956583,1,1
1.143595,1.080939,-1.185276,-1.360915,0.1071595,1.148283,-1.238605,1.131748,1.584528,-0.5733289,-0.05625549,1,1
0.96098,1.225356,-1.408546,-1.22153,-0.03841793,1.061846,-1.283709,1.141057,1.536445,-0.5290658,-0.06084435,1,1
0.8694557,1.222353,-1.376233,-1.312454,-0.1937182,0.8844584,-1.309649,1.250021,1.509406,-0.4992613,-0.06626099,1,1
0.6024977,1.362048,-1.483051,-1.251478,-0.1421762,0.6654839,-1.370827,1.399759,1.508045,-0.4417518,-0.06329233,1,1
0.01361038,1.343135,-0.9583309,-1.171624,-0.1508512,0.2678239,-1.37803,1.377636,1.471404,-0.4852096,-0.05647586,1,1
-0.5588491,1.253434,-0.4449466,-0.9979002,-0.1064132,-0.060252,-1.373196,1.10101,1.449679,-0.4755507,-0.05796322,1,1
-0.4519326,1.280907,-0.666919,-1.12468,-0.1492783,-0.6400912,-1.361149,0.5209433,1.380074,-0.4343304,-0.04788782,1,1
-0.9168178,1.165228,-0.1332088,-0.9624462,0.07056917,-0.6577582,-1.325285,0.5707692,1.354702,-0.5203151,-0.04284463,1,1
-0.8247805,1.184971,-0.3365784,-1.046202,-0.07990813,-1.105635,-1.252611,0.1225211,1.268719,-0.4561213,-0.03581955,1,1
-0.9838281,1.137674,-0.1647277,-0.9926324,-0.1369409,-1.09976,-1.214067,0.1982829,1.220381,-0.5478379,-0.03095209,1,1
-1.073568,1.11837,-0.04420223,-0.9231212,0.07608694,-1.461425,-1.164029,-0.3326673,1.113212,-0.3786234,-0.02720409,1,1
-1.173709,1.075556,0.05196762,-0.875932,0.03125175,-1.409435,-1.16491,-0.2013843,1.099007,-0.4126553,-0.0255607,1,1
-1.205329,1.047968,0.0471658,-0.8581793,-0.01219705,-1.408256,-1.104231,-0.1929751,1.016352,-0.3747336,-0.02688221,1,1
-1.25006,1.005373,0.05440353,-0.8179914,0.02756082,-1.411805,-1.045047,-0.2059279,0.9427434,-0.3605619,-0.02810529,1,1
-1.267429,0.9509324,0.1328408,-0.7042389,-0.02652118,-1.423466,-0.9620403,-0.262978,0.7946538,-0.2772962,-0.02695591,1,1
-1.261911,0.9432513,0.1403189,-0.6503568,0.01668311,-1.360936,-0.9386793,-0.1003579,0.7798697,-0.3071294,-0.02963524,1,1
-1.272972,0.9354294,0.1030324,-0.6176018,0.009870904,-1.326892,-0.8834256,-0.1013286,0.62559,-0.2729011,-0.030279,1,1
-1.178324,0.9460098,-0.0202089,-0.5876909,0.1020945,-1.310748,-0.874276,-0.09383278,0.6047826,-0.1932658,-0.03047947,1,1
-1.188417,0.9531928,-0.004307309,-0.5862969,0.1146481,-1.294117,-0.8731593,-0.0755126,0.5979489,-0.2143481,-0.03208529,1,1
-1.201388,0.9116321,0.002110399,-0.5696813,0.1232779,-1.254415,-0.8804885,-0.02069215,0.6164642,-0.2471275,-0.03206005,1,1
-1.288616,0.9625339,0.1208882,-0.7396681,0.0354165,-1.242004,-0.9044475,-0.04600356,0.6790441,-0.2420314,-0.0279341,1,1
-1.353193,1.005608,0.2104123,-0.8575997,0.1264482,-1.237741,-1.024735,-0.03658686,0.833738,-0.1921793,-0.02414923,1,1
-1.371695,1.11436,0.1978793,-1.057335,0.08019586,-1.27396,-1.12514,-0.08379341,0.9692613,-0.2207027,-0.02765729,1,1
-1.283146,1.171301,0.1019218,-1.18033,0.1062483,-1.227556,-1.210806,-0.0127741,1.089794,-0.2536378,-0.02274507,1,1
-1.179635,1.265587,0.03627662,-1.338024,-0.0160083,-1.163142,-1.321238,0.05303068,1.266318,-0.3664165,-0.02241923,1,1
-1.027005,1.347079,-0.1197151,-1.490016,0.1538862,-1.231896,-1.461387,-0.05812684,1.409974,-0.3281441,-0.0184046,1,1
-0.5886754,1.406098,-0.5764716,-1.57,0.2336688,0,-1.555886,1.144068,1.532415,-0.3260514,-0.01692945,1,1
0.02213383,1.444847,-1.169236,-1.57,0.2305444,1.980679,-1.49277,0.05349095,1.62438,-0.4348209,-0.01730933,1,1
0.8051957,1.410739,-1.230679,-1.57,0.2762978,1.94468,-1.407326,0.1426988,1.683826,-0.4001092,-0.01494744,1,1
1.418572,1.304149,-0.6212147,-1.57,0.3095957,0,-1.52212,1.089126,1.624106,-0.4654611,-0.01633644,1,1
1.397424,1.270701,-0.6393494,-1.57,0.2768881,1.871858,-1.223297,0.1878827,1.768263,-0.4395375,-0.01804779,1,1
1.545815,1.189458,-0.4932797,-1.57,0.3315553,1.913647,-1.20932,0.1372839,1.755653,-0.4182955,-0.01945664,1,1
1.620002,1.146199,-0.4184438,-1.57,0.2260637,1.911426,-1.171747,0.1150817,1.776765,-0.4137697,-0.01959779,1,1
1.696217,1.074622,-0.3612095,-1.57,0.2978263,1.891997,-1.158212,0.1131577,1.787368,-0.3725679,-0.01872608,1,1
1.685469,1.097922,-0.3666696,-1.57,0.270703,1.84119,-1.150901,0.1551697,1.781832,-0.3862261,-0.0186957,1,1
1.696806,1.097999,-0.3582359,-1.57,0.2383364,1.837148,-1.152601,0.1479405,1.757599,-0.4403432,-0.01698126,1,1
1.678959,1.104479,-0.3734169,-1.57,0.2514507,1.851999,-1.14758,0.1251907,1.761172,-0.4332322,-0.01463309,1,1
1.677876,1.108957,-0.3649485,-1.57,0.2794429,1.845825,-1.153525,0.1111573,1.758557,-0.4494606,-0.01231518,1,1
1.682144,1.118164,-0.350479,-1.57,0.2635687,1.838813,-1.160498,0.1125186,1.755274,-0.4568168,-0.006888075,1,1
1.658848,1.151091,-0.3451588,-1.57,0.2078978,1.838275,-1.202814,0.08924215,1.742829,-0.458911,-0.004749662,1,1
1.610633,1.224854,-0.3731802,-1.57,0.3054381,1.791866,-1.242615,0.1317544,1.717146,-0.4847952,0.0001630763,1,1
1.425736,1.2806,-0.5417576,-1.57,0.3422583,1.724898,-1.346214,0.1616071,1.655087,-0.4976218,0.0007231047,1,1
1.294431,1.34807,-0.6755903,-1.57,0.2966916,1.678391,-1.359141,0.1974215,1.65672,-0.5102197,0.002422283,1,1
0.7908835,1.417394,-1.167159,-1.57,0.298878,1.835838,-1.482058,0.07487507,1.55143,-0.3597592,0.004158264,1,1
0.04596829,1.455268,-1.255027,-1.57,0.2639652,0,-1.527542,1.276491,1.516461,-0.3436786,0.003426893,1,1
-0.2582856,1.415129,-0.9811897,-1.530235,0.1222096,0,-1.525188,1.303073,1.42714,-0.3093268,-0.002310047,1,1
-0.7791662,1.353573,-0.454892,-1.431837,0.1287328,-1.597283,-1.476319,-0.2870786,1.390473,-0.2446056,-0.004692378,1,1
-0.8337086,1.345304,-0.3921051,-1.342333,0.1207881,-1.491265,-1.376435,-0.1875605,1.288098,-0.2721433,-0.0115596,1,1
-1.075179,1.238141,-0.1671668,-1.134402,0.1089497,-1.560656,-1.397574,-0.2600491,1.230317,-0.3010121,-0.01639373,1,1
-1.186154,1.246858,-0.03141034,-1.085803,0.1550164,-1.457138,-1.275034,-0.1857619,1.109365,-0.2666558,-0.02656641,1,1
-1.253455,1.166306,0.09807628,-0.9338532,0.03615395,-1.456642,-1.263643,-0.2019333,1.075056,-0.2679795,-0.03412618,1,1
-1.261745,1.166566,0.1401511,-0.8996503,0.0739656,-1.413148,-1.22794,-0.1855524,0.9879486,-0.2678694,-0.03845245,1,1
-1.282647,1.161832,0.2466679,-0.8329619,0.07060131,-1.381111,-1.207242,-0.1931205,0.9221984,-0.3146775,-0.04315971,1,1
-1.243472,1.199577,0.2533917,-0.8183516,-0.02165797,-1.3204,-1.219908,-0.1964235,0.8734335,-0.2416267,-0.05112007,1,1
-1.216916,1.229986,0.2542454,-0.8329282,-0.05435973,-1.351327,-1.20578,-0.2684539,0.8430606,-0.1982542,-0.05998719,1,1
-1.167176,1.269588,0.2130911,-0.888836,-0.04608635,-1.268343,-1.276369,-0.242991,0.873053,-0.2274253,-0.06818159,1,1
-1.130427,1.288892,0.2011789,-0.9267004,-0.06242185,-1.351556,-1.234226,-0.3568091,0.8565053,-0.1917225,-0.06877632,1,1
-0.7846764,1.305089,-0.2071449,-0.8611028,0.1112019,-1.269314,-1.307781,-0.2922514,0.8923748,-0.0980382,-0.06888966,1,1
-0.7356354,1.350088,-0.2399601,-0.8993182,0.1256128,-1.359756,-1.290877,-0.4140917,0.8794135,-0.1044258,-0.06895894,1,1
-0.9192507,1.403796,-0.03575525,-0.913541,0.1156432,-1.239942,-1.290141,-0.2095239,0.8447252,-0.1883866,-0.06768656,1,1
-0.7740804,1.310255,-0.1651579,-0.8010411,0.1064019,-1.183764,-1.312354,-0.1950495,0.8517344,-0.1166873,-0.06740192,1,1
-0.6362824,1.352236,-0.3062138,-0.8084161,0.1397738,-1.191366,-1.309343,-0.15802,0.8408337,0.06953292,-0.06792679,1,1
-1.235306,1.431834,0.3429708,-0.8064878,0.2142073,-1.393018,-1.273049,-0.3974105,0.8166946,0.01922644,-0.06437095,1,1
-2.238432,1.448654,1.393866,-0.8655585,0.00218435,-1.422617,-1.276031,-0.3945053,0.8175409,0.01346847,-0.06071258,1,1
-2.599273,1.320819,1.367048,-0.8478485,-0.3698122,-1.279387,-1.293279,-0.2853294,0.8002625,0.04737139,-0.05759947,1,1
-2.989292,1.163862,0.9797879,-0.9580137,-0.7506902,-1.280252,-1.234188,-0.2712285,0.7512916,0.03717442,-0.04905405,1,1
-2.905386,1.044491,0.973027,-0.8483478,0.03878843,-1.314161,-1.157797,-0.350619,0.7395482,-0.0004799046,-0.04584683,1,1
-2.808752,0.975069,0.9692929,-0.6827645,0.1358364,-1.238067,-1.112671,-0.2260334,0.7096766,-0.0311615,-0.04454159,1,1
-2.820177,0.9757184,1.168144,-0.5475711,0.1358364,-1.182494,-1.165216,-0.1464667,0.7601165,-0.1402501,-0.04295675,1,1
-2.820976,0.9741388,1.400245,-0.4157868,0.1358364,-1.008605,-1.066608,0.06393882,0.7109835,-0.1872555,-0.04159556,1,1
-2.828817,0.9716086,1.388081,-0.4107212,0.1358364,-1.142103,-1.082082,-0.163615,0.7597267,-0.03346692,-0.03480175,1,1
